productname,productvendor,productversion
"Spotlight On Oracle, Oracle Rac","Quest Software, Inc.",9.x
Oracle Rac Required Support Files,Oracle,10.x
Oracle Rac,Oracle,12.x
Oracle Rac,Oracle,10.x
Oracle Rac,Oracle,11.x
Oracle Rac Required Support Files-Has,Oracle,10.x
Oracle Rac Deconfiguration,Oracle,11.x
Oracle Rac Deconfiguration,Oracle,12.x
Oracle Rac Required Support Files-Has,Oracle,11.x
Oracle Rac Required Support Files-Has,Oracle,12.x
Oracle Database 10 Express,Oracle,10.x
Oracle Database 10 Std,Oracle,10.x
Oracle10G Database 10 Std,Oracle,10.x
Oracle Database 10 Cus,Oracle,10.x
Oracle Database Extensions For .Net,Oracle,10.x
Oracle Database Extensions For .Net Documentation,Oracle,10.x
Oracle.Wls.Evaluation.Database (Tl),Oracle,12.x
Oracle Database 11G Express Edition,Oracle,11.x
Oracle Database 11 Std,Oracle,11.x
Oracle Database 10G Express Edition,Oracle,10.x
Oracle Database Extensions For .Net,Oracle,11.x
Oracle-Instantclient11.2-Basic,Oracle,11.x
Oracle Database 10 Ent,Oracle,10.x
Oracle Complete Dss Starter Database,Oracle,9.x
Oracle Complete Oltp Starter Database,Oracle,9.x
Oracle Database Demos,Oracle,9.x
Oracle Database Utilities,Oracle,9.x
Oracle Starter Database,Oracle,9.x
Oracle9I Database (Tl),Oracle,9.x
Oracle11G Database 11 Ent,Oracle,11.x
Oracle Grid Management Database,Oracle,12.x
Oracle Database 11 Ent,Oracle,11.x
Oracle Database 10G 32 Bit,Oracle,10.x
Oracle Database 10G (Tl),Oracle,10.x
Oracle Database 10G,Oracle,10.x
Oracle Database 10G Products (Tl),Oracle,10.x
Oracle Database 10G Intermedia Files,Oracle,10.x
Oracle Database Demos,Oracle,10.x
Oracle Database Utilities,Oracle,10.x
Oracle Starter Database,Oracle,10.x
Oracle Database User Interface,Oracle,4.x
Oracle Database 11G (Tl),Oracle,11.x
Oracle Database 11G,Oracle,11.x
Oracle Database 11G Multimedia Files,Oracle,11.x
Oracle Database 12C (Tl),Oracle,12.x
Oracle Database 12C,Oracle,12.x
Oracle Database 12C Multimedia Files,Oracle,12.x
Oracle Database Deconfiguration,Oracle,11.x
Oracle Database Deconfiguration,Oracle,12.x
Oracle Database Gateway For Odbc,Oracle,11.x
Oracle Database Gateway For Odbc,Oracle,12.x
Oracle Database User Interface,Oracle,11.x
Oracle Database User Interface,Oracle,2.x
Oracle Database Utilities,Oracle,11.x
Oracle Database Utilities,Oracle,12.x
Oracle Database Vault Option,Oracle,11.x
Oracle Database Vault Option,Oracle,12.x
Oracle Starter Database,Oracle,11.x
Oracle Starter Database,Oracle,12.x
Microsoft Sql Server 2008 R2 Upgrade Advisor,Microsoft,10.x
Microsoft Sql Server 2008 R2 Report Builder,Microsoft,10.x
Microsoft As Ole Db Provider For Sql Server,Microsoft,13.x
Microsoft Sql Server 2012 Analysis Management Objects,Microsoft,11.x
Microsoft Sql Server 2014 Analysis Management Objects,Microsoft,12.x
Microsoft Sql Server 2016 Analysis Management Objects,Microsoft,13.x
Microsoft Sql Server Data Tools,Microsoft,14.x
Microsoft Sql Server Data Tools For Visual Studio,Microsoft,15.x
Microsoft System Clr Types For Sql Server Vnext Ctp,Microsoft,15.x
Sql Server Integration Services,Microsoft,11.x
Sql Server Integration Services,Microsoft,12.x
Sql Server Integration Services,Microsoft,13.x
Sql Server Integration Services Singleton,Microsoft,14.x
Sql Server Integration Services Singleton,Microsoft,15.x
Sql Server 2008 R2 Database Engine Services Express Edition Express Edition With Advanced Services,Microsoft,10.x
Sql Server Analysis Services 2008 R,Microsoft,20.x
Sql Server Client Tools 2008 R2 Sp,Microsoft,20.x
Sql Server Management Tools 2008 R,Microsoft,20.x
Sql Anywhere Database Server,SAP (Sybase),8.x
Sql Server Analysis Services 2008 R2 Std,Microsoft,53.x
Sql Server Command Line Query Tool,Microsoft,9.x
Sql Server Management Studio 2005 Express,Microsoft,20.x
Microsoft Network Monitor: Networkmonitor Parsers Forsqlserver,Outercurve Foundation,03.x
Sql Server Analysis Services 2012 Std,Microsoft,20.x
Sql Server Integration Services,Microsoft,0.x
Sql Server 2008 R2 Transact-Sql Language Service,Microsoft,10.x
Pi Sql For Af Server,"OSIsoft, LLC.",2.x
Sql Server Reporting Services 2008 R2 Std,Microsoft,53.x
Sql Server Management Studio,Microsoft,17.x
Sql Server 2016 Express,Microsoft,40.x
Sql Server Data Tools,Microsoft,11.x
Sql Server Data Tools Build Utilities,Microsoft,11.x
Active Directory Authentication Library For Sql Server (X86),Microsoft,13.x
Microsoft Sql Server 2016 Management Objects,Microsoft,13.x
Microsoft Command Line Utilities 15 For Sql Server,Microsoft,15.x
Microsoft System Clr Types For Sql Server 2019 Ctp,Microsoft,15.x
Sql Server 2014 Express Localdb,Microsoft,20.x
Sql Server Analysis Services 2008 R2 Ent,Microsoft,20.x
Sql Server 2014 Database Engine Services Developer Edition,Microsoft,12.x
Kerberos Configuration Manager For Sql Server,Microsoft,2.x
Sql Server 2008 R2 Database Engine Services Express Edition Express Edition,Microsoft,10.x
Microsoft Sql Server 2008 Analysis Services Adomd.Net,Microsoft,10.x
Microsoft Sql Server Data Tools - Enu (),Microsoft,14.x
Sql Server 2005 Analysis Services Adomd.Net,Microsoft,9.x
Microsoft As Ole Db Provider For Sql Server,Microsoft,11.x
Microsoft Sql Server 2005 Analysis Services 9.0 Oledb Provider,Microsoft,9.x
Microsoft Sql Server 2008 Analysis Services 10.0 Oledb Provider,Microsoft,10.x
Microsoft Sql Server 2012 Adomd.Net,Microsoft,11.x
Sql Server,Microsoft,20.x
Sql Server Data Tools,Microsoft,14.x
Sql Server Management Objects,Microsoft,2016.x
Microsoft As Ole Db Provider For Sql Server,Microsoft,12.x
Microsoft Sql Server 2014 T-Sql Language Service,Microsoft,12.x
Microsoft Sql Server Data-Tier Application Framework,Microsoft,12.x
Microsoft Sql Server Migration Assistant For Oracle Extension Pack,Microsoft,6.x
Sql Server 2014 Analysis Services,Microsoft,12.x
Sql Server 2014 Analysis Services Standard Edition,Microsoft,12.x
Sql Server 2014 Data Tools,Microsoft,12.x
Sql Server 2014 Data Quality Client,Microsoft,12.x
Sql Server 2014 Data Quality Service,Microsoft,12.x
Sql Server 2014 Distributed Replay,Microsoft,12.x
Sql Server 2014 Documentation Components,Microsoft,12.x
Sql Server 2014 Integration Services,Microsoft,12.x
Sql Server 2014 Reporting Services,Microsoft,12.x
Sql Server 2014 Reporting Services Standard Edition,Microsoft,12.x
Sql Server 2014 Sql Data Quality Common,Microsoft,12.x
Sql Server 2012 Express Localdb,Microsoft,20.x
Sql Server Data Tools,Microsoft,12.x
Sql Server Data Tools Build Utilities,Microsoft,12.x
Sql Server Upgrade Advisor,Microsoft,2014.x
Sql Server Reporting Services 2012 Ent,Microsoft,20.x
Kerberos Configuration Manager For Sql Server,Microsoft,3.x
Microsoft Sql Server Management Studio -,Microsoft,13.x
Microsoft Sql Server System Clr Types,Microsoft,13.x
Sql Server Management Studio,Microsoft,2016.x
Sql Server Management Studio For Analysis Services,Microsoft,20.x
Sql Server Management Studio For Analysis Services,Microsoft,2016.x
Sql Server Management Studio For Reporting Services,Microsoft,20.x
Sql Server Xevent,Microsoft,20.x
Microsoft Sql Server System Clr Types,Microsoft,15.x
Sql Server Batch Parser,Microsoft,20.x
Sql Server Client Tools Extensions,Microsoft,20.x
Sql Server Connection Info,Microsoft,20.x
Sql Server Dmf,Microsoft,20.x
Sql Server Data-Tier Application Framework,Microsoft,14.x
Sql Server Integration Services Scale Out Management Portal,Microsoft,20.x
Sql Server Management Studio Extensions,Microsoft,20.x
Sql Server Policies,Microsoft,20.x
Sql Server Sql Diagnostics,Microsoft,20.x
Sql Server Shared Management Objects,Microsoft,20.x
Sql Server Shared Management Objects Extensions,Microsoft,20.x
Microsoft Sql Server 2008 Reporting Services Enterprise Edition,Microsoft,10.x
Microsoft Sql Server 2016 Localdb,Microsoft,13.x
Microsoft Sql Server 2016 Rs Addin For Sharepoint,Microsoft,13.x
Microsoft Sql Server 2016 Report Builder,Microsoft,15.x
Sql Server 2016 Data Quality Client,Microsoft,13.x
Sql Server 2016 Data Quality Service,Microsoft,13.x
Sql Server 2016 Database Engine Services Developer Edition,Microsoft,13.x
Sql Server 2016 Database Engine Services Express Edition Express Edition,Microsoft,13.x
Sql Server 2016 Distributed Replay,Microsoft,13.x
Sql Server 2016 Documentation Components,Microsoft,13.x
Sql Server 2016 Master Data Services,Microsoft,13.x
Sql Server 2016 Rs_Sharepoint_Sharedservice,Microsoft,13.x
Sql Server 2016 Reporting Services,Microsoft,13.x
Sql Server 2016 Reporting Services Developer Edition,Microsoft,13.x
Sql Server 2016 Reporting Services Express Edition Express Edition,Microsoft,13.x
Sql Server 2016 Sql Data Quality Common,Microsoft,13.x
Microsoft Sql Server Management Studio -,Microsoft,14.x
Microsoft Sql Server,Microsoft,8.x
Microsoft Sql Server 2005 Express Edition (Sqlexpress) Express Edition,Microsoft,9.x
Microsoft Sql Server Desktop Engine ( Storagex ),Microsoft,8.x
Microsoft Command Line Utilities 11 For Sql Server,Microsoft,11.x
Sql Server 2008 R2 Analysis Services Standard Edition,Microsoft,10.x
Sql Server 2012 Bi,Microsoft,20.x
Sql Server Reporting Services 2012 Std,Microsoft,20.x
Sql Server Reporting Services 2008 R2 Ent,Microsoft,20.x
Microsoft Sql Server 2005 (Dofa) Standard Edition,Microsoft,9.x
Toad For Sql Server,Dell (Quest Software),5.x
Microsoft Sql Server 2005 (Doa5) Standard Edition,Microsoft,9.x
Sql Server 2008 Ent,Microsoft,20.x
Sql Server Analysis Services 2008 Ent,Microsoft,20.x
Sql Server Browser,Microsoft,4.x
Sql Server Full Text Search,Microsoft,10.x
Microsoft Sql Server,Microsoft,9.x
Microsoft Sql Server 2005 Analysis Services,Microsoft,9.x
Microsoft Sql Server 2008 Upgrade Advisor,Microsoft,10.x
Rml Utilities For Sql Server (X64),Microsoft,09.x
Microsoft Sql Server 2005 (64-Bit),Microsoft,(64.x
Microsoft Sql Server 2005 (64-Bit) (Sql2005Gwo) Enterprise Edition (64-Bit),Microsoft,9.x
Microsoft Sql Server 2005 Integration Services (64-Bit),Microsoft,9.x
Microsoft Sql Server 2005 Reporting Services (64-Bit) Enterprise Edition (64-Bit),Microsoft,9.x
Microsoft Sql Server 2005 Tools (64-Bit),Microsoft,9.x
Sql Server Bi Development Studio 2008 R,Microsoft,53.x
Sql Server Integration Services 2008 R,Microsoft,53.x
Microsoft Sql Server 2014 Upgrade Advisor,Microsoft,12.x
Microsoft Sql Server Management Studio -,Microsoft,15.x
Sql Server Management Studio,Microsoft,15.x
Sql Server Management Studio For Analysis Services,Microsoft,15.x
Sql Server Management Studio For Reporting Services,Microsoft,15.x
Active Directory Authentication Library For Sql Server,Microsoft,15.x
Sql Server Management Studio,Microsoft,0.x
Sql Server Management Studio For Analysis Services,Microsoft,2017.x
Sql Server Management Studio For Reporting Services,Microsoft,2017.x
Sql Server Reporting Services 2008 R2 Ent,Microsoft,53.x
Microsoft Sql Server Migration Assistant For Oracle,Microsoft,7.x
Sql Server Bi Development Studio,Microsoft,4.x
Microsoft Sql Server Migration Assistant For Oracle,Microsoft,6.x
Sql Server Service Broker External Activator,Microsoft,10.x
Microsoft Sql Server Vss Writer,Microsoft,3.x
Sql Server Client Tools,Microsoft,3.x
Sql Server Common Files,Microsoft,3.x
Sql Server Management Studio,Microsoft,3.x
Microsoft Sql Server 2008 R2 Data-Tier Application Framework,Microsoft,10.x
Microsoft Sql Server 2008 R2 Data-Tier Application Project,Microsoft,10.x
Microsoft Sql Server 2008 R2 Transact-Sql Language Service,Microsoft,10.x
Microsoft Sql Server Data Tools - Enu (),Microsoft,12.x
Microsoft Sql Server Data Tools Build Utilities - Enu (),Microsoft,12.x
Microsoft Sql Server Database Publishing Wizard,Microsoft,10.x
Sql Server 2012 Data Quality Client,Microsoft,11.x
Sql Server 2012 Data Quality Service,Microsoft,11.x
Sql Server 2012 Distributed Replay,Microsoft,11.x
Sql Server 2012 Rs_Sharepoint_Sharedservice,Microsoft,11.x
Sql Server Analysis Services 2012 Ent,Microsoft,20.x
Microsoft Sql Server 2008 Analysis Services,Microsoft,10.x
Microsoft Sql Server 2008 Analysis Services Enterprise Edition,Microsoft,10.x
Active Directory Authentication Library For Sql Server,Microsoft,14.x
Browser For Sql Server,Microsoft,13.x
Microsoft Sql Server 2016 (64-Bit),Microsoft,(64.x
Microsoft Sql Server 2017 Policies,Microsoft,14.x
Microsoft Sql Server 2017 T-Sql Language Service,Microsoft,14.x
Microsoft Sql Server Data-Tier Application Framework (X86),Microsoft,14.x
Microsoft System Clr Types For Sql Server,Microsoft,14.x
Microsoft Vss Writer For Sql Server,Microsoft,13.x
Sql Server 2016 Database Engine Services,Microsoft,13.x
Sql Server 2016 Database Engine Services Standard Edition,Microsoft,13.x
Sql Server 2016 Database Engine Shared,Microsoft,13.x
Sql Server 2016 Full Text Search,Microsoft,13.x
Sql Server 2017 Batch Parser,Microsoft,14.x
Sql Server 2017 Client Tools Extensions,Microsoft,14.x
Sql Server 2017 Common Files,Microsoft,14.x
Sql Server 2017 Connection Info,Microsoft,14.x
Sql Server 2017 Dmf,Microsoft,14.x
Sql Server 2017 Integration Services Scale Out Management Portal,Microsoft,14.x
Sql Server 2017 Management Studio Extensions,Microsoft,14.x
Sql Server 2017 Sql Diagnostics,Microsoft,14.x
Sql Server 2017 Shared Management Objects,Microsoft,14.x
Sql Server 2017 Shared Management Objects Extensions,Microsoft,14.x
Sql Server Management Studio,Microsoft,14.x
Sql Server Management Studio For Analysis Services,Microsoft,14.x
Sql Server Management Studio For Reporting Services,Microsoft,14.x
Sql Server 2012 Analysis Services,Microsoft,11.x
Sql Server 2012 Analysis Services Enterprise Edition: Core-Based Licensing,Microsoft,11.x
Sql Server 2012 Data Tools,Microsoft,11.x
Sql Server 2012 Master Data Services,Microsoft,11.x
Sql Server 2012 Ssis 64Bit For Ssdtbi Vs,Microsoft,11.x
Sql Server 2012 Std,Microsoft,20.x
Browser For Sql Server,Microsoft,3.x
Microsoft Vss Writer For Sql Server,Microsoft,3.x
Sql Server 2014 Std,Microsoft,20.x
Sql Server Full Text Search,Microsoft,20.x
Sql Server Analysis Services Ole Db Provider 2008 R,Microsoft,50.x
Sql Server 2008 R2 Analysis Services Ole Db Provider,Microsoft,10.x
Microsoft Sql Server 2008 Database Engine Services Express Edition Express Edition With Advanced Services,Microsoft,10.x
Microsoft Sql Server 2008 Reporting Services,Microsoft,10.x
Microsoft Sql Server 2008 Reporting Services Express Edition Express Edition With Advanced Services,Microsoft,10.x
Microsoft Sql Server 2008 Setup Support Files (English),Microsoft,10.x
Netiq Appmanager For Sql Server,"NetIQ Corporation, Inc.",
Sql Server 2008 R2 Full Text Search,Microsoft,10.x
Sql Server 2008 R2 Reporting Services Standard Edition,Microsoft,10.x
Microsoft Sql Server Management Studio Express,Microsoft,9.x
Sql Server Compact,Microsoft,4.x
Microsoft Sql Server,Microsoft,(64.x
Microsoft Sql Server 2005 Express Edition (Sqlexpress),Microsoft,9.x
Sql Server 2014 Ent,Microsoft,20.x
Sql Server 2008 R2 Express,Microsoft,20.x
Microsoft Sql Server 2008 Report Builder,Microsoft,10.x
Microsoft Sql Server 2008 Command Line Utilities,Microsoft,10.x
Microsoft Sql Server 2005 Analysis Services Adomd.Net,Microsoft,9.x
Pi Sql For Server,OSIsoft,2.x
Sql Server Dts Designer Components,Microsoft,20.x
Sql Server 2008 R2 Database Engine Services,Microsoft,10.x
Sql Server 2008 R2 Database Engine Services Standard Edition,Microsoft,10.x
Sql Server 2008 R2 Database Engine Shared,Microsoft,10.x
Actian Psql V12 Server Engine,Actian Corporation,12.x
Sql Server Client Tools,Microsoft,2014.x
Sql Server Compact Query Tools,Microsoft,3.x
Sql Server Management Studio,Microsoft,2014.x
Microsoft Sql Server Vss Writer 2008 R,Microsoft,20.x
Sql Server Analysis Services 2008 R2 Std,Microsoft,20.x
Sql Server Common Files 2008 R,Microsoft,20.x
Sql Server Integration Services 2008 R,Microsoft,20.x
Sql Server Reporting Services 2008 R2 Std,Microsoft,20.x
Microsoft Sql Server Migration Assistant For Oracle,Microsoft,1.x
Sql Server 2008 R2 Analysis Services,Microsoft,10.x
Sql Server 2008 R2 Analysis Services Enterprise Edition,Microsoft,10.x
Sql Server Data-Tier Application Framework,Microsoft,13.x
Sql Server 2008 Express,Microsoft,20.x
Microsoft Sql Server 2012 Command Line Utilities,Microsoft,11.x
Microsoft Sql Server 2012 Express Localdb,Microsoft,11.x
Microsoft Sql Server Data Tools - Enu (),Microsoft,11.x
Microsoft Sql Server Data Tools Build Utilities - Enu (),Microsoft,11.x
Sql Server 2008 R2 Client Tools,Microsoft,10.x
Sql Server 2008 R2 Reporting Services Enterprise Edition,Microsoft,10.x
Microsoft Sql Server Database Publishing Wizard,Microsoft,1.x
Sql Server 2008 R2 Data-Tier Application Project,Microsoft,10.x
Sql Server Data-Tier Application Framework 2008 R,Microsoft,20.x
Sql Server Management Objects 2008 R,Microsoft,20.x
Sql Server Transact-Sql 2008 R,Microsoft,20.x
Visual Studio Tools For Sql Server Compact,Microsoft,3.x
Microsoft Sql Server Compact 3.5 Enu,Microsoft,3.x
Pi Sql Data Access Server,"OSIsoft, Inc.",1.x
Active Directory Authentication Library For Sql Server,Microsoft,13.x
Generador De Informes 3.0 De Microsoft Sql Server 2008 R,Microsoft,10.x
Microsoft Report Viewer For Sql Server,Microsoft,13.x
Microsoft Sql Server 2016 Policies,Microsoft,13.x
Microsoft Sql Server 2016 Setup (English),Microsoft,13.x
Microsoft Sql Server 2016 T-Sql Language Service,Microsoft,13.x
Microsoft Sql Server 2016 T-Sql Scriptdom,Microsoft,13.x
Microsoft Sql Server Data-Tier Application Framework (X86),Microsoft,13.x
Microsoft Sql Server Management Studio - July,Microsoft,13.x
Microsoft System Clr Types For Sql Server,Microsoft,13.x
Sql Server 2016 Batch Parser,Microsoft,13.x
Sql Server 2016 Client Tools,Microsoft,13.x
Sql Server 2016 Client Tools Extensions,Microsoft,13.x
Sql Server 2016 Common Files,Microsoft,13.x
Sql Server 2016 Connection Info,Microsoft,13.x
Sql Server 2016 Dmf,Microsoft,13.x
Sql Server 2016 Management Studio,Microsoft,13.x
Sql Server 2016 Management Studio Extensions,Microsoft,13.x
Sql Server 2016 Management Studio For Analysis Services,Microsoft,13.x
Sql Server 2016 Management Studio For Analysis Services Localization,Microsoft,13.x
Sql Server 2016 Management Studio For Reporting Services,Microsoft,13.x
Sql Server 2016 Management Studio For Reporting Services Localization,Microsoft,13.x
Sql Server 2016 Sql Diagnostics,Microsoft,13.x
Sql Server 2016 Shared Management Objects,Microsoft,13.x
Sql Server 2016 Shared Management Objects Extensions,Microsoft,13.x
Sql Server 2016 Xevent,Microsoft,13.x
Sql Server 2012 Express,Microsoft,20.x
Sql Server 2012 Documentation Components,Microsoft,11.x
Sql Server 2012 Reporting Services Standard Edition,Microsoft,11.x
Sql Server 2008 R2 Data-Tier Application Framework,Microsoft,10.x
Sql Server Browser,Microsoft,20.x
Sql Server Upgrade Advisor,Microsoft,20.x
Sql Anywhere Server,SAP (Sybase),5.x
Sql Server 2005 Express,Microsoft,20.x
Sql Server Backward Compatibility,Microsoft,8.x
Sql Server Integration Services,Microsoft,20.x
Sql Server Reporting Services 2005 Std,Microsoft,20.x
Sql Server Tools,Microsoft,20.x
Microsoft Sql Server 2005 (Payroll) Standard Edition,Microsoft,9.x
Microsoft Sql Server 2005 (Sundb) Standard Edition,Microsoft,9.x
Microsoft Sql Server 2005 Analysis Services Standard Edition,Microsoft,9.x
Microsoft Sql Server 2005 Books Online (English),Microsoft,9.x
Microsoft Sql Server 2005 Integration Services,Microsoft,9.x
Microsoft Sql Server 2005 Notification Services,Microsoft,9.x
Microsoft Sql Server 2005 Reporting Services Standard Edition,Microsoft,9.x
Microsoft Sql Server 2005 Samples,Microsoft,9.x
Microsoft Sql Server 2005 Standard Edition,Microsoft,9.x
Microsoft Sql Server 2005 Tools,Microsoft,9.x
Microsoft Sql Server Native Client,Microsoft,9.x
